namespace,informationElement_localName,label,definition,usage,recommendations,examples,rdg_type,tdwgutility_required,tdwgutility_repeatable,term_status,term_added,term_modified
mids:,DateCollected,Date Collected,"The date/time at which a gathering event occurred. For specimen gathering, this is the date/time when the event was recorded.",To provide accurate information about when the specimen was collected.,"It is strongly recommended to use ISO 8601 standard with extended format for human readability.
“s.d.” (sine diem - without date) or equivalent if not present or not known.",2023-12-08; s.d.,http://www.w3.org/2000/01/rdf-schema#Class,Yes (Biology),No,original,2024/05/16,
mids:,CollectingNumber,Collecting Number,An identifier given to the specimen at the time it was recorded. Often serves as a link between field notes and a specimen record.,For many biological collections the collector in combination with collectingNumber has been used as an identifier for the specimen in literature. It also helps in the identification and validation of the collecting location.,It is recommended to use “s.n.” (sine numero - without number) or equivalent if not present,"BPL-1001, 154/23, 254, s.n",http://www.w3.org/2000/01/rdf-schema#Class,Yes (Biology),No,original,2024/05/16,
mids:,Media,Media,A list (concatenated and separated) of media associated with the specimen.,To allow a user to locate mediafiles of the specimen,It is strong recommendation to follow Audiovisual Core standards; identifier for IIIF manifest and/or image,https://www.unimus.no/felles/bilder/web_hent_bilde.php?id=14501286&type=jpeg,http://www.w3.org/2000/01/rdf-schema#Class,Yes (Biology),Yes,original,2024/05/16,
mids:,GeologicalAge,Geological Age,"Refers to the geological age of a Earth Science specimen (i.e. Fossil, Rock, Mineral or Meteorite) and can be any kind of stratigraphic age, isotopically determined age or structural age.","To provide information about the age of the geological, mineralogical, fossil or meteorite specimen","If relevant, it is recommended follow the International Commission on Stratigraphy chart, and that litho- and biostratigraphy, where available, should also be provided.",,http://www.w3.org/2000/01/rdf-schema#Class,Yes (Geology & Palaeontology),Yes,original,2024/05/16,
mids:,TypeStatus,Type Status,"An indication of the nomenclatural type status of the specimen, where a null value is taken to mean ""Assumed not to be a type"".","The nomenclatural type specimens are some of the most important specimens in a collection, particularly for taxonomic research. They anchor the taxon name to a physical object.",It is strongly recommended to follow the list of terms included in the relevant codes of nomenclature.,"Holotype, Isotype, Syntype, Cotype, Epitype, Neotype, Lectotype",http://www.w3.org/2000/01/rdf-schema#Class,Yes (Biology),No,original,2024/05/16,
mids:,InstitutionID,Institution ID,An identifier for the institution having custody of the object(s),To allow a user (human or machine) to locate the physical location of the specimen.,"It is strongly recommended to use a globally unique persistent and resolvable identifier such as GrSciColl, ROR.","https://ror.org/01xtthb56, https://www.gbif.org/grscicoll/collection/772f9e37-4643-452b-82b4-a06550283096, https://www.gbif.org/grscicoll/institution/e3d4dcc4-81e2-444c-8a5c-41d1044b5381",http://www.w3.org/2000/01/rdf-schema#Class,Yes (all),Yes,original,2024/05/16,
mids:,CollectorID,Collector ID,"A list (concatenated and separated) of the identifier(s) for the person, people, groups, or expeditions responsible for collecting the specimen. 

",To uniquely identify the collector of a specimen in a machine readable format.,"It is strongly recommended to use resolvable ORCiD identifiers for people, or Wikidata identifiers for people or expeditions. It is also recommended to list the primary collectorID, especially one who applies a field/collecting number, first.
",https://orcid.org/0000-0003-1568-xxxx | https://www.wikidata.org/w/index.php?title=Q94522,http://www.w3.org/2000/01/rdf-schema#Class,Yes (all),Yes,original,2024/05/16,
mids:,ScientificNameID,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,To uniquly identify the taxon name of a specimen in a machine readable format.,"It is strongly recommended to use identifiers from the recognised nomenclators for the appropriate taxonomic group (e.g. the International Plant Names Index (IPNI), MycoBank, AlgaeBase, Mindat, etc).",urn:lsid:ipni.org:names:184409-1; mindat:1:1:1375:4 ; https://mindat.org/4ca61d6f-4208-8fb2-3b0eecbcs8f0,http://www.w3.org/2000/01/rdf-schema#Class,Yes (Biology and Geology),Yes,original,2024/05/16,
mids:,GeographicalLocalityID,Geographical Locality ID,An identifier for the geographical locality where the specimen was collected.,"To provide an identifier for the geographical locality which ensures that there is no ambiguity, particular for geographical locality names which are not unique. Also has the potential to create a link between the geographical locality name and a shape file.",,,http://www.w3.org/2000/01/rdf-schema#Class,Yes (all),Yes,original,2024/05/16,
mids:,IdentifiedByID,Identified By ID,"A list (concatenated and separated) of the identifier(s) for the person, people, groups, or organizations responsible for assigning the scientific name to the subject.

",To provide provenance for the identification of the specimen.,"It is strongly recommended to use resolvable ORCiD identifiers for people, or Wikidata identifiers for people or expeditions.",https://www.wikidata.org/wiki/Q94522; https://orcid.org/0000-0001-7698-3945 | https://www.wikidata.org/wiki/Q276405,http://www.w3.org/2000/01/rdf-schema#Class,Yes (all),Yes,original,2024/05/16,
mids:,AssociatedMediaID,Associated Media ID,A list (concatenated and separated) of identifiers of media associated with the Specimen.,To allow a user (human or machine) to locate mediafiles of the specimen,It is strongly recommended to follow Audiovisual Core standards; identifier(s) for IIIF manifest and/or image,,http://www.w3.org/2000/01/rdf-schema#Class,Yes (all),Yes,original,2024/05/16,
mids:,Mass,Mass,"The quantity of matter in a specimen, particularly for minerals, phases and meteorites",,,,http://www.w3.org/2000/01/rdf-schema#Class,Yes (Geology),No,original,2024/05/16,
